"Timestamp","Пин код","За какую партию вы проголосовали?","За какого кандидата вы проголосовали?","Ваш пол","Ваш возраст"
"2021/09/19 8:35:37 AM GMT+2","130081","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 9:39:59 AM GMT+2","802110","Единая Россия","Леонтьев Илья Алексеевич, Единая Россия","Мужской","45-64"
"2021/09/19 9:41:42 AM GMT+2","44385","КПРФ","Шипилов Василий Анатольевич, КПРФ","Мужской","45-64"
"2021/09/19 9:54:39 AM GMT+2","865419","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 9:54:46 AM GMT+2","963189","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 9:59:39 AM GMT+2","853471","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 10:31:26 AM GMT+2","610257","Яблоко","Шипилов Василий Анатольевич, КПРФ","Мужской","45-64"
"2021/09/19 10:32:08 AM GMT+2","821942","Яблоко","Шипилов Василий Анатольевич, КПРФ","Женский","45-64"
"2021/09/19 10:45:39 AM GMT+2","873355","Единая Россия","Леонтьев Илья Алексеевич, Единая Россия","Женский","25-44"
"2021/09/19 10:46:22 AM GMT+2","70713","Справедливая Россия — За Правду","Диденко Алексей Николаевич, ЛДПР","Женский","18-24"
"2021/09/19 10:46:28 AM GMT+2","382350","Единая Россия","Леонтьев Илья Алексеевич, Единая Россия","Женский","25-44"
"2021/09/19 10:48:35 AM GMT+2","481884","Зелёные","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 10:56:05 AM GMT+2","138675","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","18-24"
"2021/09/19 10:56:26 AM GMT+2","6893","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 10:56:36 AM GMT+2","23534","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 10:56:47 AM GMT+2","224331","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Мужской","18-24"
"2021/09/19 10:57:55 AM GMT+2","364481","Единая Россия","Леонтьев Илья Алексеевич, Единая Россия","Женский","25-44"
"2021/09/19 11:00:51 AM GMT+2","747512","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 11:01:05 AM GMT+2","496740","Справедливая Россия — За Правду","Диденко Алексей Николаевич, ЛДПР","Женский","18-24"
"2021/09/19 11:01:25 AM GMT+2","677392","Яблоко","Диденко Алексей Николаевич, ЛДПР","Мужской","18-24"
"2021/09/19 11:12:08 AM GMT+2","843082","КПРФ","Шипилов Василий Анатольевич, КПРФ","Мужской","25-44"
"2021/09/19 11:12:29 AM GMT+2","505927","Яблоко","Ерёмин Василий Васильевич, Яблоко","Женский","45-64"
"2021/09/19 11:13:36 AM GMT+2","Ivanivanz.37","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 11:13:41 AM GMT+2","830385","Яблоко","Ерёмин Василий Васильевич, Яблоко","Женский","18-24"
"2021/09/19 11:14:10 AM GMT+2","601286","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 11:15:48 AM GMT+2","368638","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 11:16:24 AM GMT+2","148624","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 11:16:48 AM GMT+2","622924","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 11:16:50 AM GMT+2","488583","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 11:28:28 AM GMT+2","195040","Яблоко","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 11:29:22 AM GMT+2"," 397334","Яблоко","Диденко Алексей Николаевич, ЛДПР","Женский","18-24"
"2021/09/19 11:30:49 AM GMT+2","211184","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Женский","18-24"
"2021/09/19 11:31:50 AM GMT+2","981590","Партия роста","Ульянова Елена Захаровна, Партия роста","Женский","18-24"
"2021/09/19 11:31:53 AM GMT+2","924804","Новые люди","Цин-Дэ-Шань Александр Андреевич, Новые люди","Женский","25-44"
"2021/09/19 11:32:00 AM GMT+2","552685","Новые люди","Ульянова Елена Захаровна, Партия роста","Женский","25-44"
"2021/09/19 11:32:22 AM GMT+2","153037","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Мужской","18-24"
"2021/09/19 11:33:59 AM GMT+2","153037","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Мужской","18-24"
"2021/09/19 11:34:02 AM GMT+2","89410","КПРФ","Шипилов Василий Анатольевич, КПРФ","Женский","25-44"
"2021/09/19 11:37:09 AM GMT+2","986610","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","18-24"
"2021/09/19 11:37:46 AM GMT+2","929584","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 11:38:26 AM GMT+2","158404","ЛДПР","Цин-Дэ-Шань Александр Андреевич, Новые люди","Женский","25-44"
"2021/09/19 11:40:45 AM GMT+2","888408","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
